index,job_title,overall_relevance_score,skill_coverage,experience_fit,role_alignment,domain_alignment,education_fit,deployment_alignment,management_alignment,matched_jd_skills,score_rationale
37,"Cloud Architect, Infrastructure",0.509,0.111,0.633,1.0,1.0,1.0,0.0,0.7,cloud security,Matches 1/9 JD skills including cloud security. Shows 1.9 years against a 3-year target. Same role family. Domain alignment 1.00.
38,Data Scientist (AI/ML),0.669,0.364,0.95,1.0,1.0,0.45,0.0,1.0,Python;SQL;NumPy;Pandas,"Matches 4/11 JD skills including Python, SQL, NumPy. Shows 1.9 years against a 2-year target. Same role family. Domain alignment 1.00. Management scope aligned."
39,Advanced Tech Product Owner,0.561,0.0,0.86,1.0,1.0,1.0,0.5,1.0,,Matches 0/1 JD skills. Shows 4.3 years against a 5-year target. Same role family. Domain alignment 1.00. Management scope aligned.
40,Site Reliability Engineer,0.716,0.412,0.8,1.0,1.0,1.0,0.75,1.0,network;Docker;Kubernetes;Prometheus;Grafana;Terraform;Ansible,"Matches 7/17 JD skills including network, Docker, Kubernetes. Shows 4.0 years, slightly above fresher expectations. Same role family. Domain alignment 1.00. Management scope aligned."
41,Data Scientist-Artificial Intelligence,0.941,1.0,0.86,1.0,1.0,1.0,0.5,1.0,Python;Tableau,"Matches 2/2 JD skills including Python, Tableau. Shows 4.3 years against a 5-year target. Same role family. Domain alignment 1.00."
42,Java Full Stack Developer - Angular,0.619,0.214,0.76,1.0,1.0,1.0,0.5,1.0,Java;PostgreSQL;Git,"Matches 3/14 JD skills including Java, PostgreSQL, Git. Shows 4.4 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
43,Cloud Architect,0.641,0.182,1.0,1.0,1.0,1.0,0.333,0.7,AWS;Azure,"Matches 2/11 JD skills including AWS, Azure. Shows 8.9 years against a 8-year target. Same role family. Domain alignment 1.00."
44,Success Architect-Sales Cloud,0.58,0.0,1.0,1.0,1.0,1.0,0.5,0.7,,Matches 0/12 JD skills. Shows 5.0 years against a 5-year target. Same role family. Domain alignment 1.00.
45,Nuchange Informatics Senior Java Developer Spring Boot,0.626,0.286,0.675,1.0,1.0,1.0,0.5,1.0,Java;SQL;Hibernate;Microservices,"Matches 4/14 JD skills including Java, SQL, Hibernate. Shows 2.7 years against a 4-year target. Same role family. Domain alignment 1.00. Management scope aligned."
46,Frontend Developer,0.626,0.286,0.79,1.0,1.0,0.45,0.5,1.0,HTML;CSS;JavaScript;React,"Matches 4/14 JD skills including HTML, CSS, JavaScript. Shows 4.1 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
47,Android Developer,0.709,0.444,0.77,1.0,1.0,1.0,0.5,1.0,Java;Kotlin;Firebase;SQLite,"Matches 4/9 JD skills including Java, Kotlin, Firebase. Shows 4.3 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
48,Ux And Ui Designer,0.695,0.333,0.89,1.0,1.0,1.0,0.5,1.0,REST APIs,"Matches 1/3 JD skills including REST APIs. Shows 3.1 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
49,Health Cloud Architect,0.518,0.0,0.74,1.0,1.0,1.0,0.5,0.7,,Matches 0/9 JD skills. Shows 11.1 years against a 15-year target. Same role family. Domain alignment 1.00.
50,Product Manager,0.77,0.5,1.0,1.0,1.0,1.0,0.5,0.7,,Shows 8.3 years against a 8-year target. Same role family. Domain alignment 1.00.
51,Site Reliability Engineer,0.716,0.333,0.975,1.0,1.0,1.0,0.5,1.0,Docker;Kubernetes,"Matches 2/6 JD skills including Docker, Kubernetes. Shows 3.9 years against a 4-year target. Same role family. Domain alignment 1.00."
52,Engineering Manager,0.654,0.222,1.0,1.0,1.0,1.0,0.0,1.0,Python;Linux internals,"Matches 2/9 JD skills including Python, Linux internals. Shows 8.5 years against a 8-year target. Same role family. Domain alignment 1.00. Management scope aligned."
53,Aws Cloud Architect,0.573,0.125,0.667,1.0,1.0,1.0,1.0,0.7,AWS,Matches 1/8 JD skills including AWS. Shows 4.0 years against a 6-year target. Same role family. Domain alignment 1.00.
54,UI and UX Designer,0.622,0.25,0.83,1.0,1.0,0.45,0.5,1.0,Material design systems,"Matches 1/4 JD skills including Material design systems. Shows 3.7 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
55,Data Engineer,0.703,0.417,1.0,1.0,1.0,0.5,0.0,1.0,Hadoop;PySpark;Python;SQL;Spark,"Matches 5/12 JD skills including Hadoop, PySpark, Python. Shows 7.7 years against a 7-year target. Same role family. Domain alignment 1.00. Management scope aligned."
56,Sr.Product Manager - Tech,0.722,0.333,1.0,1.0,1.0,1.0,0.5,1.0,Tableau;QuickSight,"Matches 2/6 JD skills including Tableau, QuickSight. Shows 8.4 years against a 8-year target. Same role family. Domain alignment 1.00. Management scope aligned."
57,"Sr Product Manager Tech, Global Subscription Growth",0.523,0.0,0.7,1.0,1.0,1.0,0.5,1.0,,Matches 0/1 JD skills. Shows 5.6 years against a 8-year target. Same role family. Domain alignment 1.00. Management scope aligned.
58,Data Engineer,0.684,0.3,1.0,1.0,1.0,0.5,0.5,1.0,Apache Spark;AWS;data modeling,"Matches 3/10 JD skills including Apache Spark, AWS, data modeling. Shows 3.7 years against a 3-year target. Same role family. Domain alignment 1.00."
59,Java Developer(Spring Boot & Microservices),0.652,0.364,0.87,1.0,1.0,0.5,0.0,1.0,Java;Spring Boot;REST APIs;Microservices,"Matches 4/11 JD skills including Java, Spring Boot, REST APIs. Shows 3.3 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
60,Data Scientist,0.785,0.5,1.0,1.0,1.0,1.0,0.5,1.0,SQL;Python;Power BI,"Matches 3/6 JD skills including SQL, Python, Power BI. Shows 6.4 years against a 5-year target. Same role family. Domain alignment 1.00."
61,Senior Technology Delivery - Full-Stack Developer (MERN),0.778,0.5,0.971,1.0,1.0,1.0,0.5,1.0,SQL;JavaScript,"Matches 2/4 JD skills including SQL, JavaScript. Shows 6.8 years against a 7-year target. Same role family. Domain alignment 1.00."
62,iOS Developer II,0.569,0.158,0.64,1.0,1.0,1.0,0.5,1.0,Swift;REST APIs;CI/CD,"Matches 3/19 JD skills including Swift, REST APIs, CI/CD. Shows 3.2 years against a 5-year target. Same role family. Domain alignment 1.00."
63,Database Administrator,0.581,0.1,0.887,1.0,1.0,1.0,0.0,1.0,PostgreSQL,Matches 1/10 JD skills including PostgreSQL. Shows 7.1 years against a 8-year target. Same role family. Domain alignment 1.00.
64,"JAVA, Microservices and Spring boot Developer",0.839,0.75,0.829,1.0,1.0,1.0,0.5,1.0,Java;Microservices;Spring Boot,"Matches 3/4 JD skills including Java, Microservices, Spring Boot. Shows 5.8 years against a 7-year target. Same role family. Domain alignment 1.00."
65,Qa Automation Testing Engineer,0.679,0.286,1.0,1.0,1.0,1.0,0.0,1.0,Playwright;Postman,"Matches 2/7 JD skills including Playwright, Postman. Shows 2.3 years against a 2-year target. Same role family. Domain alignment 1.00."
66,Machine Learning Engineer,0.784,0.5,0.975,1.0,1.0,1.0,0.6,1.0,Python;PyTorch;Hugging Face;DVC;Docker;Kubernetes;AWS,"Matches 7/14 JD skills including Python, PyTorch, Hugging Face. Shows 3.9 years against a 4-year target. Same role family. Domain alignment 1.00."
67,Machine Learning Engineer,0.557,0.16,0.692,1.0,1.0,1.0,0.0,1.0,Python;TensorFlow;MLflow;DVC,"Matches 4/25 JD skills including Python, TensorFlow, MLflow. Shows 5.1 years which may be overqualified for a fresher role. Same role family. Domain alignment 1.00."
68,Front End Developer,0.722,0.333,1.0,1.0,1.0,1.0,0.5,1.0,HTML5;REST APIs;Git;Webpack,"Matches 4/12 JD skills including HTML5, REST APIs, Git. Shows 3.0 years against a 3-year target. Same role family. Domain alignment 1.00."
69,Azure Cloud Architect,0.828,0.625,1.0,1.0,1.0,1.0,0.714,0.7,Azure;GCP;Kubernetes;Terraform;ASO (Azure Service Operator),"Matches 5/8 JD skills including Azure, GCP, Kubernetes. Shows 8.4 years against a 8-year target. Same role family. Domain alignment 1.00."
70,Cyber Security Engineer (L3),0.932,1.0,0.82,1.0,1.0,1.0,0.5,1.0,Splunk;Qradar,"Matches 2/2 JD skills including Splunk, Qradar. Shows 3.8 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
71,iOS Developer,0.71,0.545,0.614,1.0,1.0,1.0,0.5,1.0,Swift;SwiftUI;RxSwift;Fastlane;SwiftLint;SwiftFormat,"Matches 6/11 JD skills including Swift, SwiftUI, RxSwift. Shows 4.3 years against a 7-year target. Same role family. Domain alignment 1.00."
72,"Sr. Product Manager - Tech, OPTIMA",0.848,0.667,1.0,1.0,1.0,1.0,0.5,1.0,Tableau;QuickSight,"Matches 2/3 JD skills including Tableau, QuickSight. Shows 8.6 years against a 8-year target. Same role family. Domain alignment 1.00. Management scope aligned."
73,Aws Devops Engineer,0.648,0.2,0.938,1.0,1.0,1.0,0.333,1.0,Terraform;IAM,"Matches 2/10 JD skills including Terraform, IAM. Shows 7.5 years against a 8-year target. Same role family. Domain alignment 1.00."
